"Issue ID","Issue Type","Summary","Description","Priority","Effort","Owner Role","Dependencies","Acceptance Criteria","Due Week","Epic Link","Labels"
"A-01","Story","Create KPI tree and baseline matrix","Define KPI baselines and targets by service line and city for calls, forms, chats, bookings, GBP actions, organic sessions, and rankings.","Highest","M","SEO","","KPI doc includes calls/forms/chats/bookings/GBP/rankings by city and is approved.","1","EPIC A - Strategy & Tracking Foundation","epic-a,kpi"
"A-02","Story","Define GA4/GTM event schema","Create event spec for call_click, form_submit, chat_start, booking_start, quote_submit and QA rules.","Highest","M","SEO","A-01","Event spec published with GTM implementation and QA checklist.","2","EPIC A - Strategy & Tracking Foundation","epic-a,analytics"
"A-03","Task","Implement call tracking with DNI","Deploy dynamic number insertion and source attribution for inbound calls.","Highest","M","Dev/Ops","A-02","At least 95% of tracked calls include source/medium and landing page.","3","EPIC A - Strategy & Tracking Foundation","epic-a,attribution"
"A-04","Task","Implement form and chat attribution fields","Add hidden fields for utm, gclid, landing_url, city_intent and persist into CRM/export.","Highest","M","Dev","A-02","At least 95% of form/chat leads include attribution fields.","3","EPIC A - Strategy & Tracking Foundation","epic-a,attribution"
"A-05","Task","Apply GBP UTM standards","Attach UTM parameters to GBP website, appointment, and post links.","Highest","S","SEO/Ops","A-02","All GBP links use standard UTM conventions and segment properly in GA4.","3","EPIC A - Strategy & Tracking Foundation","epic-a,gbp"
"A-06","Story","Build keyword-to-URL map","Map each primary query theme to a single URL to prevent cannibalization.","Highest","M","SEO","A-01,C-01","Map covers core terms with one canonical URL per intent.","4","EPIC A - Strategy & Tracking Foundation","epic-a,keyword-map"
"A-07","Task","Launch rank tracking by city","Track service+city and near me rankings across 10 OC cities.","Highest","M","SEO","A-06","Daily ranking data is available for all money terms and cities.","4","EPIC A - Strategy & Tracking Foundation","epic-a,rank-tracking"
"A-08","Story","Create dashboard spec and weekly SOP","Publish reporting dashboard and weekly operating rhythm for KPI review.","Highest","M","SEO/Ops","A-03,A-04,A-05,A-07","Dashboard includes leads, GBP actions, rankings, and city/page performance views.","5","EPIC A - Strategy & Tracking Foundation","epic-a,reporting"
"B-01","Story","Run technical baseline audit","Run crawl and GSC baseline and publish prioritized technical defect backlog.","Highest","M","SEO","","Backlog lists indexation, CWV, duplicate/thin/orphan issues with owners.","1","EPIC B - Technical SEO & Performance","epic-b,audit"
"B-02","Task","Implement robots sitemap canonical rules","Deploy robots.txt, sitemap index, and canonical/noindex logic by template.","Highest","M","Dev","B-01","Robots and sitemaps validate; canonical/noindex behavior matches template rules.","3","EPIC B - Technical SEO & Performance","epic-b,indexation"
