"Issue ID","Issue Type","Summary","Priority","Effort","Owner Role","Due Week","Epic Link","Dependencies"
"A-01","Story","Create KPI tree and baseline matrix","Highest","M","SEO","1","EPIC A - Strategy & Tracking Foundation",""
"A-02","Story","Define GA4/GTM event schema","Highest","M","SEO","2","EPIC A - Strategy & Tracking Foundation","A-01"
"A-03","Task","Implement call tracking with DNI","Highest","M","Dev/Ops","3","EPIC A - Strategy & Tracking Foundation","A-02"
"A-04","Task","Implement form and chat attribution fields","Highest","M","Dev","3","EPIC A - Strategy & Tracking Foundation","A-02"
"A-05","Task","Apply GBP UTM standards","Highest","S","SEO/Ops","3","EPIC A - Strategy & Tracking Foundation","A-02"
"A-06","Story","Build keyword-to-URL map","Highest","M","SEO","4","EPIC A - Strategy & Tracking Foundation","A-01,C-01"
"A-07","Task","Launch rank tracking by city","Highest","M","SEO","4","EPIC A - Strategy & Tracking Foundation","A-06"
"A-08","Story","Create dashboard spec and weekly SOP","Highest","M","SEO/Ops","5","EPIC A - Strategy & Tracking Foundation","A-03,A-04,A-05,A-07"
"B-01","Story","Run technical baseline audit","Highest","M","SEO","1","EPIC B - Technical SEO & Performance",""
"B-02","Task","Implement robots sitemap canonical rules","Highest","M","Dev","3","EPIC B - Technical SEO & Performance","B-01"
"B-03","Task","Fix crawl hygiene issues","Highest","M","Dev","4","EPIC B - Technical SEO & Performance","B-01"
"B-04","Story","Core Web Vitals LCP sprint","Highest","M","Dev","5","EPIC B - Technical SEO & Performance","B-01"
"B-05","Story","Core Web Vitals CLS and INP sprint","High","M","Dev","6","EPIC B - Technical SEO & Performance","B-04"
"B-06","Task","Implement image optimization strategy","Highest","M","Dev/Designer","5","EPIC B - Technical SEO & Performance","B-04"
"B-07","Task","Implement sitewide foundation schema","High","S","Dev/SEO","5","EPIC B - Technical SEO & Performance","C-01"
"B-08","Task","Implement money page schema","Highest","M","Dev/SEO","9","EPIC B - Technical SEO & Performance","C-03,C-04,C-05,C-06,C-07,C-08,C-09,C-10,C-11,C-12,D-08"
"B-09","Task","Set security headers HTTPS and uptime monitoring","High","S","Dev/Ops","6","EPIC B - Technical SEO & Performance","B-01"
"C-01","Story","Finalize IA sitemap and nav/footer","Highest","M","SEO/Dev","2","EPIC C - Information Architecture & Core Money Pages","A-01,B-01"
"C-02","Story","Create page template system","Highest","M","SEO/Designer/Content","3","EPIC C - Information Architecture & Core Money Pages","C-01"
"C-03","Story","Publish Managed IT Services money page","Highest","L","Content/Dev","4","EPIC C - Information Architecture & Core Money Pages","C-02,B-02"
"C-04","Story","Publish IT Support and Helpdesk page","Highest","L","Content/Dev","4","EPIC C - Information Architecture & Core Money Pages","C-02,B-02"
"C-05","Story","Publish Cybersecurity Services page","Highest","L","Content/Dev","5","EPIC C - Information Architecture & Core Money Pages","C-02,B-02"
"C-06","Story","Publish Cloud cluster pages","Highest","L","Content/Dev","6","EPIC C - Information Architecture & Core Money Pages","C-02,B-02"
"C-07","Story","Publish Networking Wi-Fi and VoIP page","Highest","M","Content/Dev","6","EPIC C - Information Architecture & Core Money Pages","C-02,B-02"
"C-08","Story","Publish Surveillance Camera Installation page","Highest","M","Content/Dev","6","EPIC C - Information Architecture & Core Money Pages","C-02,B-02"
"C-09","Story","Publish Software Development and Web Development pages","High","M","Content/Dev","7","EPIC C - Information Architecture & Core Money Pages","C-02,B-02"
"C-10","Story","Publish Repair Hub page","Highest","M","Content/Dev/Designer","7","EPIC C - Information Architecture & Core Money Pages","C-01,C-02,B-02"
"C-11","Story","Publish device repair pages","Highest","L","Content/Dev","8","EPIC C - Information Architecture & Core Money Pages","C-10,B-02"
"C-12","Story","Publish Data Recovery page","Highest","M","Content/Dev","8","EPIC C - Information Architecture & Core Money Pages","C-10,B-02"
"C-13","Task","Roll out conversion layer across money pages","Highest","M","Dev/Designer","9","EPIC C - Information Architecture & Core Money Pages","C-03,C-04,C-05,C-06,C-07,C-08,C-09,C-10,C-11,C-12,F-02"
"C-14","Task","Implement internal linking matrix and breadcrumbs","Highest","M","SEO/Content/Dev","10","EPIC C - Information Architecture & Core Money Pages","C-03,C-04,C-05,C-06,C-07,C-08,C-09,C-10,C-11,C-12,D-08"
"D-01","Story","Configure GBP categories and services","Highest","M","SEO/Ops","3","EPIC D - Local SEO (GBP + Citations + Reviews + Location Pages)","A-05"
"D-02","Task","Run weekly GBP post cadence","High","M","SEO/Content","12","EPIC D - Local SEO (GBP + Citations + Reviews + Location Pages)","D-01"
"D-03","Task","Implement GBP photo and Q&A program","High","M","Ops/SEO","6","EPIC D - Local SEO (GBP + Citations + Reviews + Location Pages)","D-01"
"D-04","Story","Launch review acquisition workflow","Highest","M","Ops/SEO","6","EPIC D - Local SEO (GBP + Citations + Reviews + Location Pages)","D-01"
"D-05","Task","Deploy review response SLA and templates","Highest","S","Ops","6","EPIC D - Local SEO (GBP + Citations + Reviews + Location Pages)","D-04"
"D-06","Story","Create NAP master and citation inventory","Highest","S","SEO","4","EPIC D - Local SEO (GBP + Citations + Reviews + Location Pages)",""
"D-07","Task","Execute citation cleanup","High","L","Ops","9","EPIC D - Local SEO (GBP + Citations + Reviews + Location Pages)","D-06"
"D-08","Story","Publish 10 location pages","Highest","L","Content/SEO/Dev","10","EPIC D - Local SEO (GBP + Citations + Reviews + Location Pages)","C-02,D-06"
"D-09","Task","Implement local page interlinking","High","M","SEO/Dev","10","EPIC D - Local SEO (GBP + Citations + Reviews + Location Pages)","D-08,C-03,C-04,C-05,C-06,C-07,C-08,C-10,C-11,C-12"
"E-01","Story","Build 90-day editorial calendar","High","M","SEO/Content","5","EPIC E - Content Engine (Clusters + Editorial Calendar + Link Targets)","A-06,C-03,C-04"
"E-02","Story","Publish 10 MSP and Cyber posts","High","L","Content","8","EPIC E - Content Engine (Clusters + Editorial Calendar + Link Targets)","E-01"
"E-03","Story","Publish 10 Cloud Network and Camera posts","High","L","Content","10","EPIC E - Content Engine (Clusters + Editorial Calendar + Link Targets)","E-01"
"E-04","Story","Publish 10 Repair and Data Recovery posts","High","L","Content","12","EPIC E - Content Engine (Clusters + Editorial Calendar + Link Targets)","E-01"
"E-05","Task","Create case study and testimonial templates and publish assets","High","M","Content/Designer","11","EPIC E - Content Engine (Clusters + Editorial Calendar + Link Targets)","C-03,C-04,C-05,C-06,C-07,C-08,C-10,C-11"
"E-06","Task","Run monthly content optimization loop","High","M","SEO/Content","12","EPIC E - Content Engine (Clusters + Editorial Calendar + Link Targets)","E-02,E-03,E-04"
"F-01","Story","Define design tokens and typography system","High","M","Designer","5","EPIC F - CRO + UX/Design System","C-02"
"F-02","Story","Build conversion component library","High","M","Dev/Designer","7","EPIC F - CRO + UX/Design System","F-01"
"F-03","Task","Apply above-the-fold messaging rule","High","M","Designer/Dev","9","EPIC F - CRO + UX/Design System","F-02,C-13"
"F-04","Story","Run 3 A/B tests and deploy winners","High","M","SEO/Dev/Designer","12","EPIC F - CRO + UX/Design System","A-08,F-03"
"G-01","Story","Create local link gap and prospect list","High","M","SEO","6","EPIC G - Authority Building (Digital PR + Partnerships + Local Links)","A-06"
"G-02","Task","Execute outreach wave and partner pages","High","L","SEO/Ops/Content","10","EPIC G - Authority Building (Digital PR + Partnerships + Local Links)","G-01,C-03,C-05,C-06,C-08"
